feature,importance
in_financiamento_estudantil,0.18913080383864636
sigla_uf_curso_SP,0.17934861300368038
pib,0.17075086814652007
duracao_ideal_anos,0.09772286475864093
taxa_integralizacao,0.07128172925629625
nu_carga_horaria,0.06561008774721731
no_regiao_ies_Sudeste,0.05052353817437715
tp_grau_academico_3,0.03787773256929562
tp_grau_academico_1,0.024785439356839484
sigla_uf_curso_MG,0.012331351211164488
inscritos_por_vaga,0.010919721124109381
igc,0.010146386690027388
no_regiao_ies_Nordeste,0.00910145413157097
sigla_uf_curso_RJ,0.007389515678808524
no_regiao_ies_Sul,0.007085264929597889
tp_escola_conclusao_ens_medio_1.0,0.005033034119553063
faixa_etaria_2.0,0.0045933387627889195
nm_categoria_Educação,0.004593135468220974
tp_grau_academico_2,0.004302219510333161
nm_categoria_Serviços,0.0035515769219429272
no_regiao_ies_Centro_Oeste,0.0034832942997488916
tp_escola_conclusao_ens_medio_2.0,0.003002493783243198
"nm_categoria_Negócios, administração e direito",0.0025389008096337678
nm_categoria_Saúde e bem-estar,0.0025190848312369764
tp_escola_conclusao_ens_medio_9.0,0.002035487112995306
"nm_categoria_Engenharia, produção e construção",0.0014234548514115786
sigla_uf_curso_RS,0.0012237453981805751
nm_categoria_Computação e Tecnologias da Informação e Comunicação (TIC),0.0011745634797357086
no_regiao_ies_Norte,0.0011495244360087147
sigla_uf_curso_ES,0.001096619238165524
sigla_uf_curso_BA,0.001092831063194567
nu_ano_censo_2010,0.0008123287723767887
sigla_uf_curso_PR,0.000785463737490708
sigla_uf_curso_SC,0.0007389738896791025
tp_cor_raca_3.0,0.0006746869836399093
nm_categoria_Artes e humanidades,0.0006583304584935998
tp_cor_raca_1.0,0.0006435164164698498
sigla_uf_curso_MT,0.0005899626243302076
faixa_etaria_4.0,0.0005848730851945133
tp_sexo_2.0,0.0005254365307512922
sigla_uf_curso_PE,0.0004885488825809335
tp_cor_raca_9.0,0.0004805505324004218
tp_sexo_1.0,0.0004536826124883259
nu_ano_censo_2011,0.000438752349851802
sigla_uf_curso_GO,0.00039316239188415676
faixa_etaria_3.0,0.00036267591691926666
tp_grau_academico_5,0.00034579858782322117
tp_cor_raca_0.0,0.000343652890977001
in_apoio_social,0.00032196963550789183
sigla_uf_curso_CE,0.0003190079275485908
sigla_uf_curso_DF,0.0003159564616927357
sigla_uf_curso_PA,0.0002549325308581988
nu_ano_censo_2012,0.00021616635027488815
"nm_categoria_Ciências sociais, comunicação e informação",0.00021034707480191027
sigla_uf_curso_AM,0.00018324734043366405
faixa_etaria_5.0,0.00015145462762355125
nu_ano_censo_2017,0.000133982475969722
tp_cor_raca_2.0,0.0001269774529126256
nu_ano_censo_2015,0.00011518012013397128
sigla_uf_curso_MA,0.0001151781694900291
nu_ano_censo_2016,0.00011072438191050136
sigla_uf_curso_PI,0.0001084908869218961
nu_ano_censo_2019,0.00010750028377388874
nu_ano_censo_2018,9.664455199649608e-05
nu_ano_censo_2014,8.380403261968889e-05
nu_ano_censo_2013,8.232303665270688e-05
sigla_uf_curso_PB,8.089110540186209e-05
"nm_categoria_Agricultura, silvicultura, pesca e veterinária",7.900557106832745e-05
faixa_etaria_6.0,7.61908336450853e-05
faixa_etaria_7.0,5.729461831074775e-05
sigla_uf_curso_SE,4.5795890867610995e-05
faixa_etaria_8.0,4.435243888382931e-05
faixa_etaria_9.0,3.88918178716217e-05
sigla_uf_curso_AL,3.751138755484529e-05
tp_cor_raca_5.0,3.74768880838462e-05
sigla_uf_curso_MS,3.720807997664346e-05
sigla_uf_curso_RN,3.502418208270322e-05
sigla_uf_curso_AC,3.3067480598769135e-05
faixa_etaria_10.0,2.6876638398577025e-05
"nm_categoria_Ciências naturais, matemática e estatística",2.6687601750923674e-05
tp_cor_raca_4.0,2.589757665094744e-05
sigla_uf_curso_AP,2.3946600394089792e-05
faixa_etaria_12.0,2.1169151412357916e-05
faixa_etaria_11.0,1.977507936217799e-05
sigla_uf_curso_TO,1.7017281467073234e-05
sigla_uf_curso_RR,1.1611007017137511e-05
sigla_uf_curso_RO,8.603598373314672e-06
faixa_etaria_14.0,7.200941098296595e-06
faixa_etaria_13.0,6.824407926702766e-06
nm_categoria_Programas básicos,6.469319151520455e-06
faixa_etaria_1.0,2.2517949908038267e-06
tp_modalidade_ensino_1,0.0
